sentence_id,token_id,token,token_label,slot_label
0,0,Enhanced,O,O
0,1,methane,O,O
0,2,steam,O,O
0,3,reforming,O,O
0,4,activity,O,O
0,5,and,O,O
0,6,electrochemical,O,O
0,7,performance,O,O
0,8,of,O,O
0,9,Ni0.9Fe0.1,O,O
0,10,-,O,O
0,11,supported,O,O
0,12,solid,O,O
0,13,oxide,O,O
0,14,fuel,O,O
0,15,cells,O,O
0,16,with,O,O
0,17,infiltrated,O,O
0,18,Ni,O,O
0,19,-,O,O
0,20,TiO2,O,O
0,21,particles,O,O
0,22,Enhanced,O,O
0,23,methane,O,O
0,24,steam,O,O
0,25,reforming,O,O
0,26,activity,O,O
0,27,and,O,O
0,28,electrochemical,O,O
0,29,performance,O,O
0,30,of,O,O
0,31,Ni0.9Fe0.1,O,O
0,32,-,O,O
0,33,supported,O,O
0,34,solid,O,O
0,35,oxide,O,O
0,36,fuel,O,O
0,37,cells,O,O
0,38,with,O,O
0,39,infiltrated,O,O
0,40,Ni,O,O
0,41,-,O,O
0,42,TiO2,O,O
0,43,particles,O,O
0,44,LiKai1JiaLichao2WangXin2PuJian2ChiBoa2LiJian2,O,O
0,45,1School,O,O
0,46,of,O,O
0,47,Materials,O,O
0,48,Science,O,O
0,49,and,O,O
0,50,Engineering,O,O
0,51,",",O,O
0,52,Xi’an,O,O
0,53,Shiyou,O,O
0,54,University,O,O
0,55,",",O,O
0,56,Xi’an,O,O
0,57,710065,O,O
0,58,",",O,O
0,59,China,O,O
0,60,2Center,O,O
0,61,for,O,O
0,62,Fuel,O,O
0,63,Cell,O,O
0,64,Innovation,O,O
0,65,",",O,O
0,66,State,O,O
0,67,Key,O,O
0,68,Laboratory,O,O
0,69,for,O,O
0,70,Materials,O,O
0,71,Processing,O,O
0,72,and,O,O
0,73,Die,O,O
0,74,&,O,O
0,75,Mould,O,O
0,76,Technology,O,O
0,77,",",O,O
0,78,School,O,O
0,79,of,O,O
0,80,Materials,O,O
0,81,Science,O,O
0,82,and,O,O
0,83,Engineering,O,O
